model,status,question,horizon,condition,fresh_probability,authors_panel_median,matched_baseline_probability,matched_baseline
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,12mo,eci_p75,0.075,0.0087825,0.001,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,12mo,eci_p90,0.055,0.011425,0.01125,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,12mo,eci_p90,0.034,0.011425,0.0116,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,12mo,eci_p90,,0.011425,0.0162,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,12mo,eci_p90,0.125,0.011425,0.001,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,2028,unconditional,0.095,0.02515,0.0253,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,2028,unconditional,0.05,0.02515,0.025,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,2028,unconditional,,0.02515,0.045,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,2028,unconditional,0.15,0.02515,0.005,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,2028,sq,0.11,0.02605,0.0242,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,2028,sq,0.055,0.02605,0.0279,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,2028,sq,,0.02605,0.045,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,2028,sq,0.15,0.02605,0.005,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,2028,p1,0.12,0.02565,0.0253,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,2028,p1,0.053,0.02565,0.026,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,2028,p1,,0.02565,0.0446,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,2028,p1,0.1575,0.02565,0.005,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,2028,p2a,0.081,0.022,0.0198,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,2028,p2a,0.046,0.022,0.0242,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,2028,p2a,,0.022,0.0415,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,2028,p2a,0.135,0.022,0.004,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,2028,p2b,0.063,0.02015,0.0176,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,2028,p2b,0.039,0.02015,0.0227,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,2028,p2b,,0.02015,0.0407,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,2028,p2b,0.09,0.02015,0.004,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,2028,p3a,0.059,0.019549999999999998,0.0165,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,2028,p3a,0.044,0.019549999999999998,0.0226,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,2028,p3a,,0.019549999999999998,0.0385,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,2028,p3a,0.1275,0.019549999999999998,0.004,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,2028,p3b,0.044,0.017,0.0132,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,2028,p3b,0.038,0.017,0.0208,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,2028,p3b,,0.017,0.0363,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,2028,p3b,0.105,0.017,0.004,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,2028,p4,0.061,0.0204,0.0176,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,2028,p4,0.045,0.0204,0.0232,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,2028,p4,,0.0204,0.0389,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,2028,p4,0.12,0.0204,0.004,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,2028,p5,0.027,0.0138,0.0088,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,2028,p5,0.026,0.0138,0.0188,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,2028,p5,,0.0138,0.0328,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,2028,p5,0.06,0.0138,0.003,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,2028,eci_p10,0.058,0.0145,0.0132,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,2028,eci_p10,0.036,0.0145,0.0158,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,2028,eci_p10,,0.0145,0.0355,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,2028,eci_p10,0.075,0.0145,0.004,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,2028,eci_p25,0.074,0.01895,0.0176,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,2028,eci_p25,0.043,0.01895,0.0203,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,2028,eci_p25,,0.01895,0.0398,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,2028,eci_p25,0.1125,0.01895,0.004,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,2028,eci_p50,0.087,0.0235,0.022,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,2028,eci_p50,0.05,0.0235,0.025,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,2028,eci_p50,,0.0235,0.0441,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,2028,eci_p50,0.15,0.0235,0.005,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,2028,eci_p75,0.12,0.0303,0.0286,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,2028,eci_p75,0.062,0.0303,0.032,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,2028,eci_p75,,0.0303,0.0535,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,2028,eci_p75,0.225,0.0303,0.006,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,2028,eci_p90,0.16,0.04105,0.0396,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,2028,eci_p90,0.08,0.04105,0.0425,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,2028,eci_p90,,0.04105,0.0639,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,2028,eci_p90,0.375,0.04105,0.006,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,2030,unconditional,0.18,0.054625,0.06325,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,2030,unconditional,0.08,0.054625,0.046,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,2030,unconditional,,0.054625,0.1,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,2030,unconditional,0.25,0.054625,0.015,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,2030,sq,0.225,0.05655,0.0605,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,2030,sq,0.087,0.05655,0.0526,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,2030,sq,,0.05655,0.1027,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,2030,sq,0.25,0.05655,0.015,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,2030,p1,0.24,0.055725,0.06325,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,2030,p1,0.084,0.055725,0.0482,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,2030,p1,,0.055725,0.1009,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,2030,p1,0.2625,0.055725,0.016,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,2030,p2a,0.155,0.04685,0.0495,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,2030,p2a,0.074,0.04685,0.0442,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,2030,p2a,,0.04685,0.0881,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,2030,p2a,0.225,0.04685,0.014,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,2030,p2b,0.12,0.04245,0.044,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,2030,p2b,0.062,0.04245,0.0409,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,2030,p2b,,0.04245,0.0816,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,2030,p2b,0.15,0.04245,0.012,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,2030,p3a,0.115,0.040875,0.04125,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,2030,p3a,0.07,0.040875,0.0405,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,2030,p3a,,0.040875,0.0816,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,2030,p3a,0.2125,0.040875,0.013,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,2030,p3b,0.085,0.0347,0.033,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,2030,p3b,0.06,0.0347,0.0364,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,2030,p3b,,0.0347,0.0741,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,2030,p3b,0.175,0.0347,0.012,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,2030,p4,0.12,0.043,0.044,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,2030,p4,0.072,0.043,0.042,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,2030,p4,,0.043,0.0835,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,2030,p4,0.2,0.043,0.012,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,2030,p5,0.053,0.027,0.022,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,2030,p5,0.042,0.027,0.032,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,2030,p5,,0.027,0.0625,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,2030,p5,0.1,0.027,0.009,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,2030,eci_p10,0.12,0.02985,0.033,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,2030,eci_p10,0.058,0.02985,0.0267,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,2030,eci_p10,,0.02985,0.0835,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,2030,eci_p10,0.125,0.02985,0.012,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,2030,eci_p25,0.145,0.04015,0.044,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,2030,eci_p25,0.07,0.04015,0.0363,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,2030,eci_p25,,0.04015,0.0909,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,2030,eci_p25,0.1875,0.04015,0.013,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,2030,eci_p50,0.165,0.0505,0.055,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,2030,eci_p50,0.08,0.0505,0.046,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,2030,eci_p50,,0.0505,0.0982,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,2030,eci_p50,0.25,0.0505,0.015,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,2030,eci_p75,0.22,0.06609999999999999,0.0715,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,2030,eci_p75,0.1,0.06609999999999999,0.0607,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,2030,eci_p75,,0.06609999999999999,0.1176,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,2030,eci_p75,0.375,0.06609999999999999,0.017,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,2030,eci_p90,0.285,0.09204999999999999,0.099,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,2030,eci_p90,0.13,0.09204999999999999,0.0851,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,2030,eci_p90,,0.09204999999999999,0.1346,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,2030,eci_p90,0.625,0.09204999999999999,0.02,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,2050,unconditional,0.51,0.2415,0.273,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,2050,unconditional,0.32,0.2415,0.21,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,2050,unconditional,,0.2415,0.4,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,2050,unconditional,0.5,0.2415,0.1,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,2050,sq,0.63,0.2885,0.338,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,2050,sq,0.345,0.2885,0.239,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,2050,sq,,0.2885,0.419,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,2050,sq,0.5,0.2885,0.1,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,2050,p1,0.65,0.2855,0.351,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,2050,p1,0.335,0.2855,0.22,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,2050,p1,,0.2855,0.407,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,2050,p1,0.525,0.2855,0.105,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,2050,p2a,0.47,0.21800000000000003,0.234,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,2050,p2a,0.3,0.21800000000000003,0.202,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,2050,p2a,,0.21800000000000003,0.353,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,2050,p2a,0.45,0.21800000000000003,0.095,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,2050,p2b,0.38,0.1905,0.195,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,2050,p2b,0.25,0.1905,0.186,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,2050,p2b,,0.1905,0.318,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,2050,p2b,0.3,0.1905,0.085,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,2050,p3a,0.39,0.196,0.208,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,2050,p3a,0.285,0.196,0.184,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,2050,p3a,,0.196,0.342,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,2050,p3a,0.425,0.196,0.09,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,2050,p3b,0.29,0.16,0.156,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,2050,p3b,0.245,0.16,0.164,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,2050,p3b,,0.16,0.302,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,2050,p3b,0.35,0.16,0.08,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,2050,p4,0.39,0.1995,0.208,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,2050,p4,0.29,0.1995,0.191,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,2050,p4,,0.1995,0.342,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,2050,p4,0.4,0.1995,0.085,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,2050,p5,0.19,0.123,0.104,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,2050,p5,0.175,0.123,0.142,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,2050,p5,,0.123,0.261,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,2050,p5,0.2,0.123,0.06,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,2050,eci_p10,0.42,0.173,0.208,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,2050,eci_p10,0.24,0.173,0.138,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,2050,eci_p10,,0.173,0.375,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,2050,eci_p10,0.25,0.173,0.08,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,2050,eci_p25,0.465,0.20450000000000002,0.234,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,2050,eci_p25,0.28,0.20450000000000002,0.175,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,2050,eci_p25,,0.20450000000000002,0.388,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,2050,eci_p25,0.375,0.20450000000000002,0.09,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,2050,eci_p50,0.5,0.235,0.26,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,2050,eci_p50,0.32,0.235,0.21,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,2050,eci_p50,,0.235,0.395,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,2050,eci_p50,0.5,0.235,0.1,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,2050,eci_p75,0.56,0.27,0.286,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,2050,eci_p75,0.38,0.27,0.254,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,2050,eci_p75,,0.27,0.423,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,2050,eci_p75,0.75,0.27,0.115,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,2050,eci_p90,0.625,0.3325,0.325,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,2050,eci_p90,0.45,0.3325,0.318,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,2050,eci_p90,,0.3325,0.444,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,2050,eci_p90,0.99,0.3325,0.135,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,2100,unconditional,0.68,0.47624999999999995,0.4725,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,2100,unconditional,0.45,0.47624999999999995,0.35,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,2100,unconditional,,0.47624999999999995,0.58,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,2100,unconditional,0.7,0.47624999999999995,0.25,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,2100,sq,0.77,0.545,0.54,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,2100,sq,0.475,0.545,0.381,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,2100,sq,,0.545,0.592,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,2100,sq,0.7,0.545,0.25,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,2100,p1,0.79,0.57125,0.5625,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,2100,p1,0.465,0.57125,0.361,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,2100,p1,,0.57125,0.585,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,2100,p1,0.735,0.57125,0.262,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,2100,p2a,0.65,0.41375,0.4275,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,2100,p2a,0.42,0.41375,0.341,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,2100,p2a,,0.41375,0.554,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,2100,p2a,0.63,0.41375,0.237,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,2100,p2b,0.56,0.35625,0.3825,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,2100,p2b,0.36,0.35625,0.323,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,2100,p2b,,0.35625,0.534,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,2100,p2b,0.42,0.35625,0.212,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,2100,p3a,0.58,0.3825,0.405,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,2100,p3a,0.4,0.3825,0.322,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,2100,p3a,,0.3825,0.549,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,2100,p3a,0.595,0.3825,0.225,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,2100,p3b,0.48,0.31825000000000003,0.3375,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,2100,p3b,0.35,0.31825000000000003,0.299,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,2100,p3b,,0.31825000000000003,0.525,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,2100,p3b,0.49,0.31825000000000003,0.2,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,2100,p4,0.57,0.3875,0.405,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,2100,p4,0.41,0.3875,0.329,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,2100,p4,,0.3875,0.549,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,2100,p4,0.56,0.3875,0.212,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,2100,p5,0.37,0.28275,0.2925,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,2100,p5,0.26,0.28275,0.273,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,2100,p5,,0.28275,0.4915,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,2100,p5,0.28,0.28275,0.15,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,2100,eci_p10,0.61,0.345,0.36,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,2100,eci_p10,0.35,0.345,0.268,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,2100,eci_p10,,0.345,0.5675,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,2100,eci_p10,0.35,0.345,0.2,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,2100,eci_p25,0.645,0.4075,0.405,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,2100,eci_p25,0.4,0.4075,0.314,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,2100,eci_p25,,0.4075,0.5726,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,2100,eci_p25,0.525,0.4075,0.225,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,2100,eci_p50,0.68,0.46499999999999997,0.45,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,2100,eci_p50,0.45,0.46499999999999997,0.35,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,2100,eci_p50,,0.46499999999999997,0.575,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,2100,eci_p50,0.7,0.46499999999999997,0.25,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,2100,eci_p75,0.73,0.5435,0.495,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,2100,eci_p75,0.51,0.5435,0.393,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,2100,eci_p75,,0.5435,0.592,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,2100,eci_p75,0.99,0.5435,0.287,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,2100,eci_p90,0.78,0.58275,0.5625,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,2100,eci_p90,0.58,0.58275,0.45,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,2100,eci_p90,,0.58275,0.603,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,2100,eci_p90,0.99,0.58275,0.337,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:10k,6mo,unconditional,0.01,0.0018625,0.001725,Original GPT-6 Astra
Opus 5,complete,ladder:bio:10k,6mo,unconditional,0.005,0.0018625,0.0022,Original Opus 5
Fable 5.1,refused,ladder:bio:10k,6mo,unconditional,,0.0018625,0.002,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:10k,6mo,unconditional,0.005,0.0018625,0.0002,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:10k,6mo,sq,0.01,0.001805,0.00165,Original GPT-6 Astra
Opus 5,complete,ladder:bio:10k,6mo,sq,0.0055,0.001805,0.00233,Original Opus 5
Fable 5.1,refused,ladder:bio:10k,6mo,sq,,0.001805,0.00196,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:10k,6mo,sq,0.005,0.001805,0.0002,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:10k,6mo,p1,0.0107,0.0018425,0.001725,Original GPT-6 Astra
Opus 5,complete,ladder:bio:10k,6mo,p1,0.0053,0.0018425,0.00224,Original Opus 5
Fable 5.1,refused,ladder:bio:10k,6mo,p1,,0.0018425,0.00196,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:10k,6mo,p1,0.00525,0.0018425,0.0002,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:10k,6mo,p2a,0.0085,0.0016350000000000002,0.00135,Original GPT-6 Astra
Opus 5,complete,ladder:bio:10k,6mo,p2a,0.0046,0.0016350000000000002,0.00216,Original Opus 5
Fable 5.1,refused,ladder:bio:10k,6mo,p2a,,0.0016350000000000002,0.00192,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:10k,6mo,p2a,0.0045,0.0016350000000000002,0.0002,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:10k,6mo,p2b,0.007,0.00155,0.0012,Original GPT-6 Astra
Opus 5,complete,ladder:bio:10k,6mo,p2b,0.0038,0.00155,0.0021,Original Opus 5
Fable 5.1,refused,ladder:bio:10k,6mo,p2b,,0.00155,0.0019,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:10k,6mo,p2b,0.003,0.00155,0.0001,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:10k,6mo,p3a,0.0062,0.0014824999999999999,0.001125,Original GPT-6 Astra
Opus 5,complete,ladder:bio:10k,6mo,p3a,0.0044,0.0014824999999999999,0.00208,Original Opus 5
Fable 5.1,refused,ladder:bio:10k,6mo,p3a,,0.0014824999999999999,0.00184,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:10k,6mo,p3a,0.00425,0.0014824999999999999,0.0002,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:10k,6mo,p3b,0.0047,0.00135,0.0009,Original GPT-6 Astra
Opus 5,complete,ladder:bio:10k,6mo,p3b,0.0037,0.00135,0.00201,Original Opus 5
Fable 5.1,refused,ladder:bio:10k,6mo,p3b,,0.00135,0.0018,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:10k,6mo,p3b,0.0035,0.00135,0.0001,Initial Gemini pilot
